training:

Epoch [1/30], Loss: 2.0043, Accuracy: 17.43%, F1 Score: 0.1686
Epoch [2/30], Loss: 1.5888, Accuracy: 37.17%, F1 Score: 0.3342
Epoch [3/30], Loss: 1.2723, Accuracy: 52.23%, F1 Score: 0.4996
Epoch [4/30], Loss: 1.0655, Accuracy: 63.75%, F1 Score: 0.6325
Epoch [5/30], Loss: 0.9523, Accuracy: 67.70%, F1 Score: 0.6743
Epoch [6/30], Loss: 0.8424, Accuracy: 73.23%, F1 Score: 0.7311
Epoch [7/30], Loss: 0.7636, Accuracy: 74.63%, F1 Score: 0.7448
Epoch [8/30], Loss: 0.8043, Accuracy: 73.61%, F1 Score: 0.7353
Epoch [9/30], Loss: 0.6917, Accuracy: 78.25%, F1 Score: 0.7821
Epoch [10/30], Loss: 0.6548, Accuracy: 79.23%, F1 Score: 0.7918
Epoch [11/30], Loss: 0.6087, Accuracy: 80.90%, F1 Score: 0.8084
Epoch [12/30], Loss: 0.5484, Accuracy: 83.36%, F1 Score: 0.8331
Epoch [13/30], Loss: 0.6237, Accuracy: 80.81%, F1 Score: 0.8076
Epoch [14/30], Loss: 0.5230, Accuracy: 84.15%, F1 Score: 0.8415
Epoch [15/30], Loss: 0.5248, Accuracy: 84.53%, F1 Score: 0.8448
Epoch [16/30], Loss: 0.4888, Accuracy: 85.27%, F1 Score: 0.8525
Epoch [17/30], Loss: 0.4534, Accuracy: 87.08%, F1 Score: 0.8707
Epoch [18/30], Loss: 0.4449, Accuracy: 86.48%, F1 Score: 0.8648
Epoch [19/30], Loss: 0.4292, Accuracy: 87.64%, F1 Score: 0.8762
Epoch [20/30], Loss: 0.4557, Accuracy: 86.52%, F1 Score: 0.8652
Epoch [21/30], Loss: 0.3581, Accuracy: 89.54%, F1 Score: 0.8953
Epoch [22/30], Loss: 0.3181, Accuracy: 90.94%, F1 Score: 0.9094
Epoch [23/30], Loss: 0.2826, Accuracy: 92.43%, F1 Score: 0.9243
Epoch [24/30], Loss: 0.2485, Accuracy: 93.31%, F1 Score: 0.9330
Epoch [25/30], Loss: 0.2599, Accuracy: 93.22%, F1 Score: 0.9321
Epoch [26/30], Loss: 0.2382, Accuracy: 94.05%, F1 Score: 0.9405
Epoch [27/30], Loss: 0.2209, Accuracy: 94.61%, F1 Score: 0.9462
Epoch [28/30], Loss: 0.2054, Accuracy: 95.40%, F1 Score: 0.9540
Epoch [29/30], Loss: 0.2007, Accuracy: 95.31%, F1 Score: 0.9530
Epoch [30/30], Loss: 0.2231, Accuracy: 94.98%, F1 Score: 0.9498

Validation Loss: 0.6445, Accuracy: 83.82%, F1 Score: 0.8382
